PointID,DualVolume,DualArea,Type
0,0.16526394946659778,1.2117447548052098,ellipsiod
1,0.16526394946659778,1.2117447548052098,ellipsiod
2,0.16526394946659778,1.2117447548052098,ellipsiod
3,0.16526394946659778,1.2117447548052098,ellipsiod
4,0.1652639494665977,1.3406601968517453,ellipsiod
5,0.1652639494665977,1.3406601968517453,ellipsiod
6,0.1652639494665977,1.3406601968517453,ellipsiod
7,0.1652639494665977,1.3406601968517453,ellipsiod
8,0.16526394946659767,1.180401798530987,ellipsiod
9,0.1652639494665979,1.180401798530987,ellipsiod
10,0.16526394946659767,1.180401798530987,ellipsiod
11,0.1652639494665979,1.180401798530987,ellipsiod
